기간,차량대수
2022-12-01,9758173
2023-01-01,9757708
2023-02-01,9746836
2023-03-01,9718816
2023-04-01,9684508
2023-05-01,9654047
2023-06-01,9631252
2023-07-01,9613764
2023-08-01,9588280
2023-09-01,9566370
2023-10-01,9540763
2023-11-01,9520351
2023-12-01,9500164
2024-01-01,9480350
2024-02-01,9460328
2024-03-01,9421036
2024-04-01,9368865
2024-05-01,9328132
2024-06-01,9299523
2024-07-01,9265431
2024-08-01,9231873
2024-09-01,9201069
2024-10-01,9163986
2024-11-01,9133552
2024-12-01,9100840
2025-01-01,9075399
2025-02-01,9039742
2025-03-01,8992432
2025-04-01,8931383
2025-05-01,8888677
2025-06-01,8858758
2025-07-01,8828839
2025-08-01,8798920
2025-09-01,8769001
2025-10-01,8739082
2025-11-01,8709163
2025-12-01,8679244
