시도명,일산화탄소,질소산화물,휘발성유기화합물,미세먼지,초미세먼지,기준연도,위도,경도
서울,58,1182,17,7,6,2022,37.542987,126.98922599999999
서울,2215,24555,797,102,93,2022,37.542987,126.98922599999999
서울,934,10852,332,40,37,2022,37.542987,126.98922599999999
서울,1842,28320,532,802,738,2022,37.542987,126.98922599999999
서울,1865,4865,219,41,38,2022,37.542987,126.98922599999999
서울,266,647,18,6,5,2022,37.542987,126.98922599999999
서울,646,2288,86,11,10,2022,37.542987,126.98922599999999
서울,1497,1306,81,15,14,2022,37.542987,126.98922599999999
서울,2607,5674,174,51,47,2022,37.542987,126.98922599999999
서울,5499,87904,1307,1618,1489,2022,37.542987,126.98922599999999
서울,16787,53692,2644,681,626,2022,37.542987,126.98922599999999
서울,1149,3958,151,75,69,2022,37.542987,126.98922599999999
서울,203,471,22,5,5,2022,37.542987,126.98922599999999
서울,74,218,12,3,3,2022,37.542987,126.98922599999999
서울,523,1584,85,25,23,2022,37.542987,126.98922599999999
서울,491,973,42,7,6,2022,37.542987,126.98922599999999
서울,3269,63416,1540,142,131,2022,37.542987,126.98922599999999
서울,2589,38879,971,463,426,2022,37.542987,126.98922599999999
서울,66,1299,20,7,7,2022,37.542987,126.98922599999999
서울,2384,26150,885,110,101,2022,37.542987,126.98922599999999
서울,995,11547,367,44,40,2022,37.542987,126.98922599999999
서울,1539,23512,443,666,612,2022,37.542987,126.98922599999999
서울,1415,3563,165,31,28,2022,37.542987,126.98922599999999
서울,126,308,9,3,3,2022,37.542987,126.98922599999999
서울,361,1231,49,6,6,2022,37.542987,126.98922599999999
서울,1233,1015,67,12,11,2022,37.542987,126.98922599999999
서울,2122,4618,142,42,38,2022,37.542987,126.98922599999999
서울,7904,122055,1872,2200,2024,2022,37.542987,126.98922599999999
서울,18497,55983,2855,704,648,2022,37.542987,126.98922599999999
서울,621,2124,81,40,37,2022,37.542987,126.98922599999999
서울,100,225,11,2,2,2022,37.542987,126.98922599999999
서울,130,352,20,6,5,2022,37.542987,126.98922599999999
서울,276,793,45,13,12,2022,37.542987,126.98922599999999
서울,266,519,23,3,3,2022,37.542987,126.98922599999999
서울,3671,71121,1780,162,149,2022,37.542987,126.98922599999999
서울,2873,44215,1126,529,487,2022,37.542987,126.98922599999999
서울,82,1680,23,10,9,2022,37.542987,126.98922599999999
서울,3073,35568,1082,141,130,2022,37.542987,126.98922599999999
서울,1292,15746,450,56,51,2022,37.542987,126.98922599999999
서울,1065,17002,315,486,447,2022,37.542987,126.98922599999999
서울,1344,3900,156,33,31,2022,37.542987,126.98922599999999
