기간,차량대수
2001-12-01,4029650
2002-01-01,4086683
2002-02-01,4124474
2002-03-01,4174717
2002-04-01,4236182
2002-05-01,4300548
2002-06-01,4343105
2002-07-01,4388111
2002-08-01,4430680
2002-09-01,4477400
2002-10-01,4532242
2002-11-01,4580709
2002-12-01,4607309
2003-01-01,4675712
2003-02-01,4716345
2003-03-01,4762901
2003-05-01,4844720
2003-07-01,4911834
2003-08-01,4935788
2003-09-01,4966882
2003-10-01,5002996
2003-11-01,5036075
2003-12-01,5054689
2004-01-01,5096759
2004-02-01,5117328
2004-03-01,5136718
2004-04-01,5169652
2004-05-01,5202814
2004-06-01,5235502
2004-07-01,5266090
2004-08-01,5288401
2004-09-01,5321157
2004-10-01,5340926
2004-11-01,5366734
2004-12-01,5385089
2005-01-01,5411612
2005-02-01,5426255
2005-03-01,5444606
2005-04-01,5463275
2005-05-01,5480805
2005-06-01,5504427
2005-07-01,5530575
2005-08-01,5553431
2005-09-01,5571400
2005-10-01,5591587
2005-11-01,5619556
2005-12-01,5650004
2006-01-01,5683952
2006-02-01,5699341
2006-03-01,5718627
2006-04-01,5737271
2006-05-01,5758008
2006-06-01,5779641
2006-07-01,5796024
2006-08-01,5808229
2006-09-01,5826288
2006-10-01,5837049
2006-11-01,5854889
2006-12-01,5869412
2007-01-01,5900546
2007-02-01,5917991
2007-03-01,5935367
2007-04-01,5951938
2007-05-01,5972339
2007-06-01,5991298
2007-07-01,6011863
2007-08-01,6029843
2007-09-01,6047190
2007-10-01,6062787
2007-11-01,6078699
2007-12-01,6087255
2008-01-01,6118628
2008-02-01,6130928
2008-03-01,6144233
2008-04-01,6151988
2008-05-01,6153220
2008-06-01,6144941
2008-07-01,6144280
2008-08-01,6141341
2008-09-01,6140365
2008-10-01,6141066
2008-11-01,6140598
2008-12-01,6136884
2009-01-01,6145464
2009-02-01,6144501
2009-03-01,6150011
2009-04-01,6149539
2009-05-01,6165255
2009-06-01,6182227
2009-07-01,6193547
2009-08-01,6198517
2009-09-01,6216648
2009-10-01,6234404
2009-11-01,6255920
2009-12-01,6284554
2010-01-01,6300220
2010-02-01,6312361
2010-03-01,6325703
2010-04-01,6342595
2010-05-01,6361971
2010-06-01,6378875
2010-07-01,6399898
2010-08-01,6413051
2010-09-01,6433348
2010-10-01,6453441
2010-11-01,6474946
2010-12-01,6483423
2011-01-01,6520130
2011-02-01,6532959
2011-03-01,6553609
2011-04-01,6573839
2011-05-01,6591024
2011-06-01,6609934
2011-07-01,6632459
2011-08-01,6643953
2011-09-01,6661573
2011-10-01,6679754
2011-11-01,6696231
2011-12-01,6704991
2012-01-01,6731662
2012-02-01,6748098
2012-03-01,6768475
2012-04-01,6788639
2012-05-01,6814286
2012-06-01,6845077
2012-07-01,6874945
2012-08-01,6890175
2012-09-01,6917661
2012-10-01,6946984
2012-11-01,6981424
2012-12-01,7001950
2013-01-01,7045135
2013-02-01,7069356
2013-03-01,7097836
2013-04-01,7131372
2013-05-01,7164042
2013-06-01,7199024
2013-07-01,7242210
2013-08-01,7270863
2013-09-01,7296162
2013-10-01,7337334
2013-11-01,7373657
2013-12-01,7395739
2014-01-01,7454418
2014-02-01,7487789
2014-03-01,7530186
2014-04-01,7575040
2014-05-01,7615057
2014-06-01,7662062
2014-07-01,7717806
2014-08-01,7757065
2014-09-01,7800585
2014-10-01,7845555
2014-11-01,7898760
2014-12-01,7938627
2015-01-01,8009115
2015-02-01,8053479
2015-03-01,8102529
2015-04-01,8156412
2015-05-01,8207710
2015-06-01,8270101
2015-07-01,8333244
2015-08-01,8378425
2015-09-01,8441806
2015-10-01,8499510
2015-11-01,8567256
2015-12-01,8622179
2016-01-01,8690030
2016-02-01,8729780
2016-03-01,8786655
2016-04-01,8838993
2016-05-01,8890371
2016-06-01,8947421
2016-07-01,8986760
2016-08-01,9014083
2016-09-01,9049314
2016-10-01,9086115
2016-11-01,9133641
2016-12-01,9170456
2017-01-01,9220588
2017-02-01,9240784
2017-03-01,9271393
2017-04-01,9306695
2017-05-01,9340468
2017-06-01,9376655
2017-07-01,9414247
2017-08-01,9445518
2017-09-01,9488004
2017-10-01,9511694
2017-11-01,9549332
2017-12-01,9576395
2018-01-01,9616311
2018-02-01,9630956
2018-03-01,9656333
2018-04-01,9691045
2018-05-01,9725910
2018-06-01,9764828
2018-07-01,9802385
2018-08-01,9828571
2018-09-01,9854245
2018-10-01,9874149
2018-11-01,9903758
2018-12-01,9929537
2019-01-01,9970210
2019-02-01,9975645
2019-03-01,9967516
2019-04-01,9955582
2019-05-01,9959298
2019-06-01,9974649
2019-07-01,9992089
2019-08-01,10001600
2019-09-01,9993266
2019-10-01,9970489
2019-11-01,9958930
2019-12-01,9957543
2020-01-01,9971420
